ID;ZONAL_ID;ZONAL_CODE;ZONAL_NAME;LOCALIDAD_ID;LOCALIDAD_CODE;LOCALIDAD_NAME;SITIO_ID;SITIO_CODE;SITIO_NAME;ELEMENTO_ID;ELEMENTO_SERIAL;Created;ELEMENTO_NAME;TIPOELEMENTO_ID;TIPOELEMENTO_NAME;MARCA_ID;MARCA_NAME;MODELO_ID;MODELO_NAME;FLAG_ACTIVO;FECHA_INGRESO;FECHA_BAJA;LATITUD;LONGITUD;REGION;PROVINCIA;COMUNA;ELEMENTO_RED_COR;EQUIPO;Updated;CANT_RESIDENCIAL_TEL;CANT_RESIDENCIAL_TV;CANT_RESIDENCIAL_INT;CANT_RESIDENCIAL_TOTAL;CANT_EMPRESA_EMPRESAS;CANT_EMPRESA_TELCOS;CANT_EMPRESA_TOTAL;SEVERIDAD;AVISO_SUBTEL;ESTADO;CODI_EMPRESA_SSOT;CODIGO_SERVICIO;NOMBRE_SERVICIO;CODIGO_COMPONENTE;KEY_COMPONENTE;NOMBRE_COMPONENTE;ID_FINAL;
2535-FRUT;8;PM;PUERTO MONTT;92;FRUT;FRUTILLAR;2505;FRUT;FRUTILLAR;1365;2535-FRUT;;2535-FRUT;6;MSAN;14;ZHONE;18;MXK-819;true;3/10/2018 23:51;;"41°06'52.92""";"73°03'08.64""";REGI�N DE LOS LAGOS;PROVINCIA DE LLANQUIHUE;FRUTILLAR;2535-FRUT;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29303;SER-29288;(S) MXK (Zhone);65314;
9291-CRVN;5;TE;TEMUCO;108;TE;TEMUCO;2060;CRVNF;FCA CORVALAN TEMUCO;1371;9291-CRVN;;9291-CRVN;6;MSAN;14;ZHONE;18;MXK-819;true;3/10/2018 23:51;;"00°00'00.00""";"00°00'00.00""";REGI�N DE LA ARAUCAN�A;PROVINCIA DE CAUT�N;TEMUCO;9291-CRVN;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29303;SER-29288;(S) MXK (Zhone);65320;
9801-CHLL;2;CH;CHILLAN;38;CH;CHILLAN;46;CHLL;CHILLAN TELSUR;7422;9801-CHLL;;9801-CHLL;6;MSAN;14;ZHONE;18;MXK-819;true;3/10/2018 23:51;;"36°36'03.25""";"72°05'54.12""";REGI�N DE �UBLE;PROVINCIA DIGUILL�N;CHILL�N;9801-CHLL;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29303;SER-29288;(S) MXK (Zhone);67602;
FIBRA MXK;15;ADM;ADMINISTRACION CENTRAL;728;ADM;ADMINISTRACION CENTRAL;3156;INF ACC;INFRAESTRUCTURA ACCESO;213102;MXK;;FIBRA MXK;6;MSAN;14;ZHONE;18;MXK-819;true;3/10/2018 23:51;;"39°48'59.34""";"73°15'15.48""";;;;FIBRA MXK;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29303;SER-29288;(S) MXK (Zhone);69122;
2574-MRSL;8;PM;PUERTO MONTT;102;PMTT;PUERTO MONTT;2388;MRSL;MIRASOL;10073565;2574-MRSL;;2574-MRSL;6;MSAN;14;ZHONE;18;MXK-819;true;27/5/2019 23:16;;"41°28'27.48""";"72°57'34.92""";REGI�N DE LOS LAGOS;PROVINCIA DE LLANQUIHUE;PUERTO MONTT;2574-MRSL;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29303;SER-29288;(S) MXK (Zhone);76355;
WIGO;13;PE;PERU;723;LIMA;LIMA;3140;LIMA;LIMA;39622;WIGO;;WIGO;6;MSAN;83;FIBERHOME;240;AN5516;true;3/10/2018 23:51;;"00°00'00.00""";"00°00'00.00""";;;;WIGO;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29304;SER-29287;(S) MSAN (Fiberhome);68883;
8210-COLL;4;LA;LOS ANGELES;724;COLL;COLLIPULLI;3141;COLL;COLLIPULLI;194350;8210-COLL;;8210-COLL;6;MSAN;83;FIBERHOME;240;AN5516;true;3/10/2018 23:51;;"37°57'40.09""";"72°26'05.37""";REGI�N DE LA ARAUCAN�A;PROVINCIA DE MALLECO;COLLIPULLI;8210-COLL;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29304;SER-29287;(S) MSAN (Fiberhome);69098;
FIBRA FIBERHOME;15;ADM;ADMINISTRACION CENTRAL;728;ADM;ADMINISTRACION CENTRAL;3156;INF ACC;INFRAESTRUCTURA ACCESO;213107;FBH;;FIBRA FIBERHOME;6;MSAN;83;FIBERHOME;240;AN5516;true;3/10/2018 23:51;;"39°48'59.34""";"73°15'15.48""";;;;FIBRA FIBERHOME;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29304;SER-29287;(S) MSAN (Fiberhome);69123;
8706-CYHQ;10;CY;COYHAIQUE;58;CYHQ;COYHAIQUE;51;CYHQ;COYHAIQUE;10018514;8706-CYHQ;;8706-CYHQ;6;MSAN;83;FIBERHOME;240;AN5516;true;3/10/2018 23:51;;"45°34'39.36""";"72°04'06.24""";REGI�N DE AIS�N DEL GENERAL CARLOS IB��EZ DEL CAMPO;PROVINCIA DE COIHAIQUE;COYHAIQUE;8706-CYHQ;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29304;SER-29287;(S) MSAN (Fiberhome);69373;
8214-LDCJ;5;TE;TEMUCO;219;CAJN;CAJON;10300000;LDCJ;LDCJ;10300286;8214-LDCJ;;8214-LDCJ;6;MSAN;83;FIBERHOME;240;AN5516;true;3/10/2018 23:51;;"00°00'00.00""";"00°00'00.00""";REGI�N DE LA ARAUCAN�A;PROVINCIA DE CAUT�N;VILC�N;8214-LDCJ;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29304;SER-29287;(S) MSAN (Fiberhome);69379;
9995-LABO;6;VA;VALDIVIA;127;VLDV;VALDIVIA;2866;LAB1;LABORATORIO VLD2;10461931;9995-LABO;;9995-LABO;6;MSAN;83;FIBERHOME;240;AN5516;true;17/10/2018 12:02;;"39°49'29.77""";"73°13'50.34""";REGI�N DE LOS R�OS;PROVINCIA DE VALDIVIA;VALDIVIA;9995-LABO;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29304;SER-29287;(S) MSAN (Fiberhome);69415;
8215-PDVL;5;TE;TEMUCO;108;TE;TEMUCO;66;PVLD;PEDRO DE VALDIVIA;10462482;8215-PDVL;;8215-PDVL;6;MSAN;83;FIBERHOME;240;AN5516;true;20/10/2018 0:03;;"38°43'33.52""";"72°37'20.33""";REGI�N DE LA ARAUCAN�A;PROVINCIA DE CAUT�N;TEMUCO;8215-PDVL;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29304;SER-29287;(S) MSAN (Fiberhome);69435;
